_start,_stop,_time,_value,_field,_measurement,group,line,machine,site,tagName,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:18:00Z,938.6285714285711,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:19:00Z,919.4428571428567,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:20:00Z,917.8666666666668,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:21:00Z,915.9909090909091,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:22:00Z,917.8499999999997,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:23:00Z,917.5363636363635,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:24:00Z,921.2545454545453,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:25:00Z,915.9576923076924,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:26:00Z,915.4642857142859,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:27:00Z,906.1896551724134,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:28:00Z,906.1560000000002,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:29:00Z,904.6259259259258,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:30:00Z,905.1321428571428,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:31:00Z,905.1724137931034,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:32:00Z,902.1571428571428,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:33:00Z,901.8999999999999,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:34:00Z,901.8999999999999,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:35:00Z,901.8999999999999,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:36:00Z,901.8999999999999,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:37:00Z,901.8999999999999,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:38:00Z,901.8999999999999,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:39:00Z,901.8999999999999,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:40:00Z,901.7285714285711,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:41:00Z,900.7500000000002,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:42:00Z,902.8107142857142,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:43:00Z,899.6285714285714,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:44:00Z,898.2481481481481,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:45:00Z,906.0862069,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:46:00Z,903.3107142857143,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:47:00Z,902.5862069,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:48:00Z,904.4541666666664,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:49:00Z,902.2319999999996,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:50:00Z,904.1185185185183,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:51:00Z,902.8482759,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:52:00Z,909.2896552,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:53:00Z,909.3034482758623,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:54:00Z,903.9413793,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:55:00Z,906.5035714285713,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:56:00Z,901.9827586206898,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:57:00Z,903.1714285714285,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:58:00Z,901.0565217391301,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
